
																																																																																						
KODE_PABRIK	KODE_GRPOBAT	KODE_JENISOBAT	KODE_IPAOBAT	KODE_GENOBAT	KODE_ASKESOBAT	KODE_KONOBAT	KODE_OBAT	NAMA_OBAT	KEMASAN_OBAT	SATUAN_OBAT	ISI_OBAT	DOSIS_OBAT	HNAREG_OBAT	HNAPPNREG_OBAT	HNAGENPPN_OBAT	HNAOTCPPN_OBAT	HJAPPN_OBAT	HNAASKES_OBAT	HNAPPNASKES_OBAT	HKSPPN_OBAT	TGLAKTBELI_OBAT	KODE_KREDITUR	TGLAKTJUAL_OBAT	KODE_KLTLOBAT	QTYAWAL_OBAT	QTYBELI_OBAT	QTYDROPING_OBAT	QTYJUAL_OBAT	QTYAWALK_OBAT	QTYBELIK_OBAT	QTYDROPK_OBAT	QTYJUALK_OBAT	STOCKMINIM_OBAT	STOCKBESAR_OBAT	STOCKRACIK_OBAT	STOCKDPHO_OBAT	STOCKKON_OBAT	TGLBARU_OBAT	TGLEXPIRE_OBAT	QTYAKHIR_OBAT	QTYAKHIRK_OBAT	KODE_PBF	BISNIS_BARANG	KOBAT_ASKES	KODE_OPNAME	HJDS_OPNAME	HPP_OPNAME	TGL_EDIT	PEMAKAI	KODE_OUTLET	DISC1	DISC2	HARGA	BARCODE	MIN_QTY	FAKTOR1	FAKTOR2	FAKTOR3	FAKTOR4	DISC	DISCH	DISCU	DISCA	TANGGAL1	TANGGAL2	HJAR	HJAH	HJAU	HJAA	LOKASI	CAT	SUBCAT	CLAS	SUBCLAS	WKT_TRANSFER	TEMP_STOCK	VALID	KODEDEBITUR	BYR_VOUCHER	STD_OBAT	AKTIF_OBAT	TGL1	TGL2	DISC_RP	DISC_SEN	
026	2	14	37	11	1	0	0261114237003	MYCOSTATIN ORAL SUSP 12ML	BTLBTL1	BTL	1	1.00	46500.00	51150.00	0.00	1.00	0.00	47800.00	52580.00	1.00	04/30/2014	ASPBFD0018	09/14/2015	1	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00	M-0647	1	BMJAYA		46605.00	46605.00	05/30/2013	0261114237003	2140100002	2.50	0.00	47465.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	ORAL DROP	PRESCRIPTION	Drugs	Anti-Infectives ( Systemic )	Other Antibiotics		0.00	Y		0	3	-	-	-	0.00	0.00	
233	2	0	2200	12	0	0	2331222002026	MIPI CLASSIC 10ML ROLL ON	BHBH1	BH	1	1.00	12800.00	14080.00	0.00	0.00	16500.00	12000.00	13200.00	1.00	10/29/2013	ASPBFA0009	01/22/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			0.00	0.00	06/13/2013	2331222002026		0.00	0.00	0.00	8993430163808	1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	04/01/2015	04/30/2015	0.00	0.00	0.00	0.00		HEALTH	Medicine Cabinet	Topical	Rubs & Liniment	-	0.00	Y		0	3	-	-	-	0.00	0.00	
585	2	0	2200	12	0	0	5851222002018	WELLNESS CALCIUM GUMMY@30	BTLBTL1	BTL	1	1.00	145455.00	160000.00	0.00	0.00	150000.00	136364.00	150000.00	1.00	02/28/2014		02/28/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			0.00	0.00	02/28/2014			40.50	0.00	0.00	686499012733	1.00	1.00	1.00	1.00	1.00	0.00	15.00	0.00	0.00	10/01/2015	10/31/2015	0.00	0.00	0.00	0.00						-	0.00	Y		0	3	-	-	-	0.00	0.00	
352	2	40	51	12	0	1	3521240251074	OXYGEN ISI 150CC	BHBH1	BH	1	1.00	30000.00	33000.00	0.00	0.00	0.00	56100.00	61710.00	0.00	05/13/2008	ASPBFT0008	10/21/2015	1	0.00	0.00	-4.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+1.00000000000000E+000	0.00		1	BMJAYA		30000.00	30000.00	11/29/2014	3521240251074	2140100002	0.00	0.00	61710.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	40000.00	40000.00	40000.00	40000.00	ALKES						0.00	Y	-	0	3	-	-	-	0.00	0.00	
223	2	12	41	12	0	0	2231212241007	OSSOVIT KPL@60	DUSKPL60	KPL	60	1.00	2975.00	3272.00	0.00	0.00	0.00	2900.00	3190.00	1.00	03/10/2014	ASPBFE0004	11/30/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00		1	BMJAYA		2975.00	2975.00	11/29/2014	2231212241007	2140100002	0.00	0.00	3117.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	BMJAYA	PRESCRIPTION	Drugs	Vitamins & Nutritions	Vitamins & Minerals		0.00	Y		0	3	-	-	-	0.00	0.00	
463	2	41	51	16	0	0	3521641251102	TABUNG REAKSI 16 X 150MM	BHBH1	BH	1	1.00	2500.00	2750.00	0.00	0.00	0.00	2273.00	2500.00	1.00	11/18/2014	ASPBF00123	10/22/2015	1	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00		1	BMJAYA		2500.00	2500.00	01/28/2014	3521641251102	2140100002	0.00	0.00	2145.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	ALKES DALA	HEALTH	Medical Equipment	Laboratory Tools	Laboratory Tools		0.00	Y		0	3	-	-	-	0.00	0.00	
242	2	14	48	11	0	0	2421114248006	BIOCEF 1GR INJ	VIAVIA1	VIA	1	1.00	125000.00	137500.00	0.00	1.00	0.00	120000.00	132000.00	1.00	12/03/2014	ASPBFM0029	07/26/2015	1	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00		1			118750.00	118750.00	11/29/2014	2421114248006	2140100002	5.00	0.00	115500.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	INJEK/INFU	PRESCRIPTION	Drugs	Intravenous & Other Sterile So	Intravenous & Other Sterile Solutions		0.00	Y		0	3	-	-	-	0.00	0.00	
241	2	14	17	11	0	0	2411114217035	KA-EN 4B INFUS 500ML OTS	BTLBTL1	BTL	1	1.00	15100.00	16610.00	0.00	1.00	0.00	14237.00	15661.00	1.00	12/03/2014	ASPBFM0030	01/05/2015	1	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00	K-0004	1	BMJAYA		13881.00	13881.00	11/29/2014	2411114217035	2140100002	0.00	0.00	14916.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	ALKES DALA	PRESCRIPTION	Drugs	Intravenous & Other Sterile So	Intravenous & Other Sterile Solutions		0.00	Y	-	0	3	-	-	-	0.00	0.00	
926	2	41	56	16	0	0	9261641256001	KURSI RODA BAN MATI GEA	BHBH1	BH	1	1.00	909091.00	1000000.00	0.00	0.00	0.00	777273.00	855000.00	1.00	01/28/2015	ASPBF00123	10/21/2015	1	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			909091.00	909091.00	12/09/2013	9261641256001	2140100002	0.00	0.00	1045000.00		0.00	1.30	1.25	1.15	2.00	0.00	0.00	0.00	0.00	07/17/2013	01/15/2015	1197000.00	1197000.00	1197000.00	1197000.00	ALKES	HEALTH	Medical Equipment	Medical Supplies	Wheelchairs & Supplies	-	0.00	Y		0	3	-	-	-	0.00	0.00	
223	2	14	04	11	0	0	2231114204016	INTERCON OINT 10GR	TUBTUB1	TUB	1	1.00	59450.00	65395.00	0.00	1.00	0.00	59450.00	65395.00	1.00	02/11/2014	ASPBFM0029	10/11/2015	1	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00		1	BMJAYA		59450.00	59450.00	11/30/2014	2231114204016	2140100002	10.00	0.00	74800.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	CR/SALEP	PRESCRIPTION	Drugs	Dermatologicals	Topical Corticosteroids		0.00	Y		0	3	-	-	-	0.00	0.00	
